Day;Time;Mem init;Mem firefox;CPU init;CPU firefox;CPU multithread;CPU multithread/0;CPU multithread/1;CPU multithread/2;CPU multithread/3;CPU multithread/4;CPU multithread/5;CPU multithread/6;CPU multithread/7;CPU multithread/8;CPU multithread/9;CPU multithread/10;CPU multithread/11;CPU multithread/12;CPU multithread/13;CPU multithread/14;CPU multithread/15;CPU multithread/16;CPU multithread/17;CPU multithread/18;CPU multithread/19
2015-04-04;02:28:31;41828;1098072;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4
2015-04-04;02:28:32;41828;1098072;0,0;0,0;0,0;0,0;6,4;0,0;0,0;0,0;6,4;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0
2015-04-04;02:28:34;41828;1098072;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;6,4;0,0;0,0;0,0;0,0
2015-04-04;02:28:35;41828;1098072;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0;6,5;0,0;0,0;12,9;0,0;0,0;0,0;6,5;6,5;0,0;6,5;0,0;0,0;0,0
2015-04-04;02:28:36;41828;1098072;0,0;6,7;0,0;0,0;6,4;6,4;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:38;41828;1098072;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,5;0,0
2015-04-04;02:28:39;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0;6,4;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;6,4;6,4;0,0;0,0;6,4;0,0
2015-04-04;02:28:40;41828;1098136;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2015-04-04;02:28:42;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;6,4;6,4;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,4;0,0
2015-04-04;02:28:43;41828;1098136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
